conditions,block,sample1,sample2,height,blur,lighting
55,2,10,16,2,7,1
18,2,2,7,4,2,0
19,2,4,7,4,12,1
63,2,14,17,0,1,0
52,2,12,15,3,4,1
30,2,5,10,3,9,1
24,2,6,8,4,6,0
58,2,14,16,0,13,1
6,2,1,4,1,9,0
16,2,4,6,0,1,1
60,2,10,17,3,4,0
54,2,14,15,0,10,1
21,2,6,7,0,10,0
8,2,3,4,2,11,0
47,2,10,14,2,1,0
57,2,13,16,3,7,0
50,2,13,14,1,2,1
5,2,0,4,0,2,0
49,2,12,14,4,10,0
38,2,9,12,1,10,0
35,2,9,11,0,5,1
68,2,15,18,2,11,0
56,2,12,16,3,13,1
13,2,0,6,2,6,0
75,2,13,20,4,6,1
79,2,18,20,1,11,1
2,2,1,2,2,9,0
26,2,6,9,3,7,1
64,2,15,17,1,7,1
10,2,2,5,4,12,1
34,2,8,11,4,9,0
74,2,10,20,4,14,1
77,2,15,20,2,1,0
48,2,11,14,4,13,1
41,2,10,13,0,7,1
43,2,6,14,3,4,1
4,2,2,3,2,9,0
40,2,11,12,3,7,0
73,2,18,19,0,9,0
72,2,17,19,0,7,0
