conditions	block	sample1	sample2	height	blur	lighting
115	2	21	23	1	1	1
99	2	14	21	0	7	0
19	2	5	7	0	4	0
82	2	10	18	4	12	1
97	2	19	20	3	9	0
57	2	3	14	0	4	0
43	2	9	11	4	3	0
94	2	16	20	2	10	0
16	2	2	7	4	12	0
95	2	17	20	0	6	0
42	2	8	11	4	3	1
118	2	18	24	4	11	1
35	2	5	10	3	9	1
56	2	1	14	1	6	0
25	2	4	8	0	1	1
54	2	11	13	2	6	0
104	2	20	21	0	1	1
112	2	18	23	0	2	0
89	2	10	19	4	10	0
6	2	0	4	0	9	0
33	2	0	10	0	11	0
34	2	4	10	3	11	1
24	2	3	8	4	13	1
58	2	9	14	2	12	1
111	2	16	23	4	5	1
39	2	2	11	2	0	0
108	2	19	22	2	2	1
62	2	13	14	2	7	1
31	2	7	9	4	2	1
40	2	3	11	1	8	1
109	2	20	22	2	4	1
0	2	0	1	3	4	0
90	2	15	19	1	5	1
79	2	14	17	0	6	1
29	2	5	9	3	0	0
8	2	2	4	2	4	0
117	2	17	24	0	9	0
12	2	1	6	0	5	1
10	2	3	5	4	14	0
71	2	9	16	1	1	0
2	2	1	2	4	8	1
59	2	10	14	4	5	0
21	2	0	8	3	3	0
60	2	11	14	3	10	1
14	2	4	6	2	11	1
11	2	4	5	0	7	0
87	2	16	18	0	14	0
55	2	12	13	4	7	1
52	2	9	13	3	10	0
53	2	10	13	1	5	0
69	2	13	15	0	2	0
26	2	5	8	2	9	1
113	2	19	23	0	12	1
120	2	21	24	3	6	1
18	2	4	7	2	11	0
47	2	10	12	4	12	0
66	2	10	15	4	12	0
92	2	18	19	3	14	0
88	2	17	18	3	11	1
116	2	22	23	2	12	0
81	2	16	17	2	6	1
101	2	16	21	3	12	0
