conditions,block,sample1,sample2,height,blur,lighting
213,2,26,27,2,3,0
241,2,19,31,0,10,1
39,2,8,9,2,2,0
124,2,15,18,1,7,1
343,2,38,41,0,9,1
112,2,15,17,4,0,1
172,2,10,24,4,3,1
237,2,28,30,2,3,0
319,2,33,39,2,14,0
20,2,5,6,0,0,1
160,2,20,22,0,3,0
117,2,6,18,1,8,0
13,2,3,5,1,7,0
1,2,0,2,2,5,1
26,2,5,7,3,1,1
228,2,28,29,0,1,1
107,2,9,17,2,4,1
273,2,30,34,2,3,1
120,2,10,18,2,0,1
167,2,19,23,0,12,0
298,2,31,37,2,5,0
110,2,13,17,2,6,1
250,2,26,32,0,5,0
54,2,7,11,0,3,0
254,2,30,32,1,9,0
325,2,18,40,2,4,1
22,2,1,7,4,1,0
286,2,34,35,4,1,1
184,2,13,25,4,4,0
138,2,13,20,4,8,0
32,2,6,8,2,8,0
67,2,1,13,2,12,1
263,2,31,33,4,0,0
153,2,20,21,4,6,0
85,2,13,14,2,13,0
219,2,27,28,2,0,1
223,2,21,29,4,6,0
180,2,22,24,2,6,1
162,2,2,23,3,1,0
108,2,10,17,0,2,1
121,2,12,18,0,6,0
128,2,12,19,1,6,1
4,2,1,3,3,14,0
280,2,27,35,0,11,0
290,2,28,36,1,4,0
8,2,2,4,4,3,0
329,2,33,40,4,10,0
242,2,21,31,3,0,1
181,2,23,24,4,10,1
227,2,27,29,3,3,0
176,2,18,24,2,14,1
200,2,21,26,1,9,1
57,2,10,11,2,5,0
285,2,33,35,3,3,0
44,2,5,10,0,10,1
301,2,34,37,0,10,0
52,2,4,11,4,8,1
340,2,34,41,0,8,0
151,2,18,21,1,3,0
342,2,37,41,3,6,1
336,2,30,41,2,6,0
244,2,24,31,2,9,0
239,2,14,31,2,9,1
56,2,9,11,2,11,1
95,2,14,15,4,9,1
296,2,28,37,3,6,0
279,2,26,35,4,13,1
220,2,15,29,3,3,0
97,2,2,16,0,1,1
331,2,35,40,1,11,0
270,2,25,34,4,13,1
324,2,38,39,4,9,0
83,2,10,14,3,11,0
36,2,3,9,2,14,0
2,2,1,2,0,11,0
295,2,35,36,4,7,1
311,2,35,38,4,13,0
243,2,22,31,3,9,0
11,2,1,5,1,4,0
283,2,31,35,1,12,0
64,2,9,12,1,6,0
307,2,28,38,1,12,1
246,2,29,31,4,7,1
76,2,11,13,0,9,0
306,2,27,38,0,4,0
7,2,1,4,3,6,0
188,2,19,25,4,13,1
207,2,18,27,2,6,0
218,2,26,28,0,8,0
113,2,16,17,4,4,1
17,2,2,6,0,12,1
50,2,1,11,0,7,0
335,2,39,40,0,4,1
109,2,11,17,4,2,0
19,2,4,6,4,8,0
262,2,29,33,4,4,1
92,2,11,15,2,7,0
51,2,3,11,0,12,1
43,2,4,10,2,7,0
341,2,36,41,0,2,0
116,2,5,18,4,8,0
174,2,14,24,1,11,0
14,2,4,5,4,5,1
18,2,3,6,4,14,1
189,2,20,25,1,2,0
333,2,37,40,3,6,0
309,2,33,38,3,6,1
159,2,19,22,4,13,1
231,2,20,30,1,3,0
115,2,3,18,4,12,0
344,2,39,41,4,12,0
305,2,26,38,3,12,0
310,2,34,38,3,1,0
82,2,9,14,1,2,1
127,2,9,19,1,10,1
